msglen=2	10.009 s		611497 packets/s	1222.99 KB/s	1.22299 MB/s
msglen=2	10.0092 s		624615 packets/s	1249.23 KB/s	1.24923 MB/s
msglen=2	10.0093 s		700273 packets/s	1400.55 KB/s	1.40055 MB/s
msglen=4	10.0093 s		513902 packets/s	2055.61 KB/s	2.05561 MB/s
msglen=4	10.0091 s		631522 packets/s	2526.09 KB/s	2.52609 MB/s
msglen=4	10.0092 s		622843 packets/s	2491.37 KB/s	2.49137 MB/s
msglen=16	10.0094 s		536978 packets/s	8591.64 KB/s	8.59164 MB/s
msglen=16	10.0096 s		532755 packets/s	8524.08 KB/s	8.52408 MB/s
msglen=16	10.0095 s		537358 packets/s	8597.72 KB/s	8.59772 MB/s
msglen=256	10.0095 s		629600 packets/s	161178 KB/s	161.178 MB/s
msglen=256	10.0095 s		596843 packets/s	152792 KB/s	152.792 MB/s
msglen=256	10.0092 s		617507 packets/s	158082 KB/s	158.082 MB/s
msglen=1024	10.0092 s		607443 packets/s	622021 KB/s	622.021 MB/s
msglen=1024	10.0091 s		603178 packets/s	617655 KB/s	617.655 MB/s
msglen=1024	10.0091 s		596270 packets/s	610581 KB/s	610.581 MB/s
msglen=4096	10.0093 s		239563 packets/s	981249 KB/s	981.249 MB/s
msglen=4096	10.0094 s		230483 packets/s	944058 KB/s	944.058 MB/s
msglen=4096	10.0094 s		242051 packets/s	991442 KB/s	991.442 MB/s
msglen=4096	10.0094 s		214705 packets/s	879430 KB/s	879.43 MB/s
msglen=4096	10.0093 s		237276 packets/s	971885 KB/s	971.885 MB/s
msglen=4096	10.0094 s		234299 packets/s	959690 KB/s	959.69 MB/s
msglen=16384	10.0094 s		61989.2 packets/s	1.01563e+06 KB/s	1015.63 MB/s
msglen=16384	9.99956 s		62043.4 packets/s	1.01652e+06 KB/s	1016.52 MB/s
msglen=16384	10.0094 s		62264.8 packets/s	1.02015e+06 KB/s	1020.15 MB/s
msglen=4096	10.0095 s		241445 packets/s	988959 KB/s	988.959 MB/s	0.988959 GB/s
msglen=4096	10.0095 s		239906 packets/s	982657 KB/s	982.657 MB/s	0.982657 GB/s
msglen=4096	10.0094 s		224436 packets/s	919290 KB/s	919.29 MB/s	0.91929 GB/s
msglen=8192	10.0095 s		119047 packets/s	975229 KB/s	975.229 MB/s	0.975229 GB/s
msglen=8192	10.0094 s		117694 packets/s	964151 KB/s	964.151 MB/s	0.964151 GB/s
msglen=8192	10.0094 s		116503 packets/s	954392 KB/s	954.392 MB/s	0.954392 GB/s
msglen=16384	10.0094 s		61423.9 packets/s	1.00637e+06 KB/s	1006.37 MB/s	1.00637 GB/s
msglen=16384	10.0063 s		60807.7 packets/s	996274 KB/s	996.274 MB/s	0.996274 GB/s
msglen=16384	10.0094 s		61905.5 packets/s	1.01426e+06 KB/s	1014.26 MB/s	1.01426 GB/s
msglen=32768	10.0093 s		30665.4 packets/s	1.00484e+06 KB/s	1004.84 MB/s	1.00485 GB/s
msglen=32768	10.0092 s		30858.7 packets/s	1.01118e+06 KB/s	1011.18 MB/s	1.01118 GB/s
msglen=32768	10.0092 s		31022.3 packets/s	1.01654e+06 KB/s	1016.54 MB/s	1.01654 GB/s
msglen=4096	60.0595 s		244334 packets/s	1.00079e+06 KB/s	1000.79 MB/s	1.00079 GB/s
msglen=4096	60.0546 s		245521 packets/s	1.00565e+06 KB/s	1005.65 MB/s	1.00565 GB/s
msglen=4096	60.0284 s		238659 packets/s	977548 KB/s	977.548 MB/s	0.977548 GB/s
msglen=4096	60.0593 s		245258 packets/s	1.00458e+06 KB/s	1004.58 MB/s	1.00458 GB/s
msglen=4096	60.0594 s		244573 packets/s	1.00177e+06 KB/s	1001.77 MB/s	1.00177 GB/s
msglen=8192	60.0594 s		112252 packets/s	919568 KB/s	919.568 MB/s	0.919568 GB/s
